0, latitude, 63.4644, longitude, 1.74556
0, latitude, 62.6216, longitude, 1.7458
0, latitude, 61.783, longitude, 1.74563
0, latitude, 60.9445, longitude, 1.74568
0, latitude, 60.0785, longitude, 1.74557
0, latitude, 59.2315, longitude, 1.74557
0, latitude, 58.391, longitude, 1.74579
0, latitude, 57.3316, longitude, 1.74581
0, latitude, 56.4941, longitude, 1.7456
0, latitude, 55.6507, longitude, 1.74605
0, latitude, 54.8092, longitude, 1.74562
0, latitude, 53.9525, longitude, 1.74513
0, latitude, 53.105, longitude, 1.74545
0, latitude, 52.2496, longitude, 1.74569
0, latitude, 51.1908, longitude, 1.74592
0, latitude, 50.3354, longitude, 1.74555
0, latitude, 49.4802, longitude, 1.74556
0, latitude, 48.6264, longitude, 1.74572
0, latitude, 47.763, longitude, 1.74569
0, latitude, 46.896, longitude, 1.74565
0, latitude, 46.0199, longitude, 1.7459
0, latitude, 45.1529, longitude, 1.74565
0.981771, latitude, 44.2686, longitude, 1.74554
2.64583, latitude, 43.3849, longitude, 1.74579
3.55339, latitude, 42.4922, longitude, 1.74553
4.41797, latitude, 41.5966, longitude, 1.74563
8.81771, latitude, 40.6991, longitude, 1.74587
12.8112, latitude, 39.7968, longitude, 1.74592
16.3125, latitude, 39.1056, longitude, 1.74561
20.3828, latitude, 38.1867, longitude, 1.74566
23.832, latitude, 37.2736, longitude, 1.74562
26.9128, latitude, 36.361, longitude, 1.74591
29.3984, latitude, 35.4462, longitude, 1.74576
30.8893, latitude, 34.5312, longitude, 1.7458
31.1823, latitude, 33.8424, longitude, 1.74535
29.8841, latitude, 32.933, longitude, 1.74577
28.8685, latitude, 31.9988, longitude, 1.74604
26.6875, latitude, 31.0804, longitude, 1.74585
23.0846, latitude, 30.1695, longitude, 1.74579
19.9232, latitude, 29.4813, longitude, 1.7456
18.5794, latitude, 28.5576, longitude, 1.74562
17.2318, latitude, 27.635, longitude, 1.74573
16.5039, latitude, 26.7181, longitude, 1.74604
16.5417, latitude, 25.7973, longitude, 1.74566
15.5078, latitude, 25.1073, longitude, 1.74562
15.4492, latitude, 24.1958, longitude, 1.74577
15.6471, latitude, 23.2873, longitude, 1.74583
17.1094, latitude, 22.3777, longitude, 1.74578
18.5456, latitude, 21.4577, longitude, 1.74567
16.8763, latitude, 20.5502, longitude, 1.74575
16.8945, latitude, 19.6318, longitude, 1.74573
16.2773, latitude, 18.9447, longitude, 1.74556
13.8568, latitude, 18.0255, longitude, 1.74569
11.224, latitude, 17.1078, longitude, 1.74567
6.65755, latitude, 16.1839, longitude, 1.74586
3.86068, latitude, 15.2626, longitude, 1.74588
1.40495, latitude, 14.5719, longitude, 1.74588
0.178385, latitude, 13.6507, longitude, 1.74591
0, latitude, 12.7291, longitude, 1.74577
0, latitude, 11.7984, longitude, 1.7458
0.173177, latitude, 11.1052, longitude, 1.74552
0.282552, latitude, 10.1825, longitude, 1.74579
0.278646, latitude, 9.25611, longitude, 1.74609
0.282552, latitude, 8.33357, longitude, 1.7456
0.279948, latitude, 7.41523, longitude, 1.74594
0.292969, latitude, 6.49376, longitude, 1.7458
0.28776, latitude, 5.79612, longitude, 1.74551
0.377604, latitude, 4.87588, longitude, 1.74568
0.598958, latitude, 3.93774, longitude, 1.74579
1.17708, latitude, 3.00064, longitude, 1.74598
2.07422, latitude, 2.29815, longitude, 1.74574
2.6263, latitude, 1.35571, longitude, 1.74587
4.52734, latitude, 0.41845, longitude, 1.74592
7.21354, latitude, -0.515334, longitude, 1.74573
8.88542, latitude, -1.22304, longitude, 1.74575
10.6953, latitude, -2.17458, longitude, 1.74581
14.1159, latitude, -3.16302, longitude, 1.74592
16.3112, latitude, -3.90762, longitude, 1.74579
15.6302, latitude, -4.90269, longitude, 1.74574
16.3906, latitude, -5.6431, longitude, 1.74586
17.2591, latitude, -6.5971, longitude, 1.74575
17.8659, latitude, -7.52425, longitude, 1.74577
17.5052, latitude, -8.2258, longitude, 1.74584
16.776, latitude, -9.16339, longitude, 1.74579
15.707, latitude, -10.1011, longitude, 1.74586
13.9896, latitude, -11.0333, longitude, 1.74595
12.9193, latitude, -11.7244, longitude, 1.74566
10.7513, latitude, -12.6553, longitude, 1.74578
7.7526, latitude, -13.579, longitude, 1.74559
6.67969, latitude, -14.4988, longitude, 1.74563
6.4401, latitude, -15.4185, longitude, 1.74572
5.61198, latitude, -16.1073, longitude, 1.74568
7.3112, latitude, -17.0327, longitude, 1.74601
7.75781, latitude, -17.9301, longitude, 1.74584
8.52214, latitude, -18.8333, longitude, 1.74571
10.2383, latitude, -19.7273, longitude, 1.74583
12.8164, latitude, -20.6173, longitude, 1.74576
16.4154, latitude, -21.5242, longitude, 1.74567
21.4766, latitude, -22.4277, longitude, 1.74594
22.6315, latitude, -23.0951, longitude, 1.74563
23.3164, latitude, -23.3183, longitude, 1.74582
24.4193, latitude, -25.0897, longitude, 1.7456
25.2266, latitude, -25.0897, longitude, 1.7456
25.8568, latitude, -26.8508, longitude, 1.74612
25.7461, latitude, -26.8508, longitude, 1.74612
23.125, latitude, -28.5909, longitude, 1.74551
23.5143, latitude, -28.5909, longitude, 1.74551
23.5143, latitude, -29.4701, longitude, 1.74616
24.9531, latitude, -30.3432, longitude, 1.74575
28.4792, latitude, -31.2166, longitude, 1.74578
31.4141, latitude, -32.0867, longitude, 1.74591
35.8333, latitude, -32.9538, longitude, 1.74595
36.7409, latitude, -33.8338, longitude, 1.74585
36.6471, latitude, -34.7126, longitude, 1.74584
36.8177, latitude, -35.5856, longitude, 1.74607
33.8893, latitude, -36.4648, longitude, 1.74554
31.4518, latitude, -37.3341, longitude, 1.74563
27.5586, latitude, -38.2155, longitude, 1.74593
22.2461, latitude, -39.0783, longitude, 1.74615
16.2604, latitude, -39.96, longitude, 1.74586
13.2318, latitude, -40.8248, longitude, 1.7461
11.569, latitude, -41.7122, longitude, 1.74588
9.83594, latitude, -42.5749, longitude, 1.74583
8.59896, latitude, -43.4438, longitude, 1.74592
8.66016, latitude, -44.315, longitude, 1.74582
9.79297, latitude, -45.1915, longitude, 1.74607
9.75391, latitude, -46.0701, longitude, 1.74572
7.625, latitude, -46.9323, longitude, 1.74588
6.28125, latitude, -47.801, longitude, 1.74589
5.40495, latitude, -48.6791, longitude, 1.74604
4.14844, latitude, -49.5525, longitude, 1.74604
3.52344, latitude, -50.4179, longitude, 1.74587
2.48958, latitude, -51.303, longitude, 1.74585
1.82812, latitude, -52.1709, longitude, 1.74585
2.00391, latitude, -53.0518, longitude, 1.74596
1.73047, latitude, -53.9181, longitude, 1.74575
1.80208, latitude, -54.791, longitude, 1.74604
2.47266, latitude, -55.6582, longitude, 1.746
3.45573, latitude, -56.5284, longitude, 1.74601
4.94531, latitude, -57.3991, longitude, 1.74599
4.52734, latitude, -58.2816, longitude, 1.74588
4.88932, latitude, -59.1492, longitude, 1.74598
5.6901, latitude, -60.0308, longitude, 1.74623
6.16276, latitude, -60.8889, longitude, 1.74557
6.45312, latitude, -61.7516, longitude, 1.74596
8.35417, latitude, -62.6147, longitude, 1.74617
13.0469, latitude, -63.4819, longitude, 1.74603
17.349, latitude, -64.3486, longitude, 1.74587
21.5443, latitude, -65.2192, longitude, 1.74583
25.3372, latitude, -66.0866, longitude, 1.74581
30.0521, latitude, -67.162, longitude, 1.74602
34.0508, latitude, -68.0228, longitude, 1.746
36.694, latitude, -68.8786, longitude, 1.74603
38.3464, latitude, -69.7178, longitude, 1.74584
41.0833, latitude, -70.5586, longitude, 1.74572
47.4089, latitude, -71.4146, longitude, 1.74617
51.2943, latitude, -72.2617, longitude, 1.7459
54.5742, latitude, -73.1042, longitude, 1.74591
55.9401, latitude, -74.161, longitude, 1.74603
54.9766, latitude, -75.0037, longitude, 1.7461
48.9115, latitude, -75.8531, longitude, 1.74624
39.6432, latitude, -76.6912, longitude, 1.74611
28.2214, latitude, -77.5365, longitude, 1.74607
19.7721, latitude, -78.3805, longitude, 1.74617
11.3294, latitude, -79.2234, longitude, 1.74596
4.52604, latitude, -80.2762, longitude, 1.74592
1.57161, latitude, -81.1199, longitude, 1.74598
0.380208, latitude, -81.9655, longitude, 1.74593
0, latitude, -82.8156, longitude, 1.74622
0, latitude, -83.6521, longitude, 1.74612
0, latitude, -85.7784, longitude, 1.74624
0, latitude, -86.6313, longitude, 1.74619
0, latitude, -87.4765, longitude, 1.74596
0, latitude, -87.6867, longitude, 2.3368
0, latitude, -87.6865, longitude, 3.11004
0, latitude, -87.056, longitude, 3.3024
0, latitude, -86.0032, longitude, 3.30239
0, latitude, -85.1756, longitude, 3.30213
0, latitude, -84.3313, longitude, 3.30238
0.00651042, latitude, -83.4858, longitude, 3.30246
1.30729, latitude, -82.6393, longitude, 3.30212
3.99219, latitude, -81.7944, longitude, 3.30246
9.45703, latitude, -80.7454, longitude, 3.30233
15.9583, latitude, -79.9038, longitude, 3.30208
26.2487, latitude, -79.0545, longitude, 3.30225
33.3503, latitude, -78.2107, longitude, 3.30264
42.5247, latitude, -77.3688, longitude, 3.3023
52.5443, latitude, -76.5238, longitude, 3.30263
57.5898, latitude, -75.6777, longitude, 3.30236
58.293, latitude, -74.6287, longitude, 3.30247
58.0456, latitude, -73.7855, longitude, 3.30217
57.0286, latitude, -72.9263, longitude, 3.30247
56.7005, latitude, -72.0825, longitude, 3.3022
57.3789, latitude, -71.2286, longitude, 3.30207
55.8021, latitude, -70.3865, longitude, 3.30214
52.6536, latitude, -69.3144, longitude, 3.30234
47.8073, latitude, -68.4539, longitude, 3.30244
41.7188, latitude, -67.5828, longitude, 3.30234
37.2409, latitude, -66.7281, longitude, 3.30232
32.444, latitude, -65.8663, longitude, 3.3023
28.0521, latitude, -65.0037, longitude, 3.30249
22.8359, latitude, -64.1282, longitude, 3.30243
18.5729, latitude, -63.2484, longitude, 3.30242
18.3021, latitude, -62.3814, longitude, 3.30221
19.112, latitude, -61.5053, longitude, 3.3024
17.5534, latitude, -60.6412, longitude, 3.30233
17.0365, latitude, -59.767, longitude, 3.30213
18.8398, latitude, -58.8847, longitude, 3.30265
18.3958, latitude, -58.012, longitude, 3.3023
16.3151, latitude, -57.1288, longitude, 3.30233
14.9258, latitude, -56.2561, longitude, 3.30217
13.9805, latitude, -55.3757, longitude, 3.30233
13.0104, latitude, -54.4958, longitude, 3.30242
11.4076, latitude, -53.6161, longitude, 3.30233
12.0378, latitude, -52.733, longitude, 3.3026
13.1367, latitude, -51.8481, longitude, 3.3027
14.4883, latitude, -50.9692, longitude, 3.30227
15.1771, latitude, -50.0908, longitude, 3.30234
17.6745, latitude, -49.2183, longitude, 3.30231
20.3021, latitude, -48.3458, longitude, 3.3023
21.5299, latitude, -47.472, longitude, 3.30249
21.9089, latitude, -46.5993, longitude, 3.30222
22.0508, latitude, -45.7225, longitude, 3.30242
22.6016, latitude, -44.853, longitude, 3.30209
23.0339, latitude, -43.9675, longitude, 3.30213
25.1107, latitude, -43.0914, longitude, 3.30245
27.0755, latitude, -42.2207, longitude, 3.30252
30.2708, latitude, -41.3545, longitude, 3.30241
32.8971, latitude, -40.4778, longitude, 3.30252
34.1523, latitude, -39.5951, longitude, 3.30242
35.2448, latitude, -38.712, longitude, 3.30226
36.2773, latitude, -37.8299, longitude, 3.30253
38.9922, latitude, -36.9447, longitude, 3.30232
39.793, latitude, -36.0575, longitude, 3.30237
37.2435, latitude, -35.1816, longitude, 3.30243
37.3438, latitude, -34.3053, longitude, 3.30222
35.1016, latitude, -33.4334, longitude, 3.30225
34.1185, latitude, -32.5573, longitude, 3.30249
33.5, latitude, -31.6808, longitude, 3.30232
32.7083, latitude, -30.8143, longitude, 3.30227
32.7031, latitude, -29.9412, longitude, 3.3025
32.3451, latitude, -29.0709, longitude, 3.3025
33.5, latitude, -28.198, longitude, 3.3022
33.6992, latitude, -27.3118, longitude, 3.30245
30.862, latitude, -26.4279, longitude, 3.30248
29.4831, latitude, -25.5522, longitude, 3.30227
27.5859, latitude, -24.6761, longitude, 3.3027
25.0469, latitude, -23.7707, longitude, 3.30202
22.5221, latitude, -23.0783, longitude, 3.30229
20.1289, latitude, -22.1509, longitude, 3.30216
18.7161, latitude, -21.2233, longitude, 3.30222
16.737, latitude, -20.2904, longitude, 3.30217
16.5208, latitude, -19.3984, longitude, 3.30243
17.4206, latitude, -18.5003, longitude, 3.30244
15.4518, latitude, -17.8178, longitude, 3.30241
14.875, latitude, -16.8979, longitude, 3.30247
15.099, latitude, -15.986, longitude, 3.30242
15.6172, latitude, -15.0768, longitude, 3.3025
16.6081, latitude, -14.1595, longitude, 3.30229
19.5612, latitude, -13.2466, longitude, 3.30238
18.9193, latitude, -12.5635, longitude, 3.3025
18.862, latitude, -11.6501, longitude, 3.30241
17.8971, latitude, -10.7376, longitude, 3.30217
17.056, latitude, -9.83199, longitude, 3.30234
15, latitude, -8.92632, longitude, 3.30239
13.3828, latitude, -8.01747, longitude, 3.3023
11.2318, latitude, -7.33696, longitude, 3.30243
10.0378, latitude, -6.42551, longitude, 3.30216
10.707, latitude, -5.51421, longitude, 3.30237
11.2188, latitude, -5.51429, longitude, 3.30225
9.64583, latitude, -3.68917, longitude, 3.30221
8.21484, latitude, -3.68917, longitude, 3.30221
6.89453, latitude, -1.85676, longitude, 3.30219
5.50911, latitude, -1.85676, longitude, 3.30219
4.28385, latitude, -0.262587, longitude, 3.30243
2.86589, latitude, -0.262587, longitude, 3.30243
2.5612, latitude, 1.58839, longitude, 3.30211
1.55859, latitude, 1.58839, longitude, 3.30211
1.49479, latitude, 3.40392, longitude, 3.30235
1.71615, latitude, 3.40392, longitude, 3.30235
2.35156, latitude, 4.9901, longitude, 3.30237
3.17969, latitude, 4.9901, longitude, 3.30237
3.79427, latitude, 6.8276, longitude, 3.30235
4.1849, latitude, 6.8276, longitude, 3.30235
4.33594, latitude, 8.66766, longitude, 3.30213
4.66667, latitude, 8.66766, longitude, 3.30213
4.4401, latitude, 10.2738, longitude, 3.30204
3.54818, latitude, 10.2738, longitude, 3.30204
2.76693, latitude, 12.1124, longitude, 3.30231
2.92188, latitude, 12.1124, longitude, 3.30231
3.25911, latitude, 13.0269, longitude, 3.30263
4.41276, latitude, 13.7116, longitude, 3.30233
