1.57552, latitude, 14.3623, longitude, 3.13283e-06
2.48958, latitude, 15.4013, longitude, -0.000109312
3.59375, latitude, 16.1658, longitude, -3.88074e-05
3.4375, latitude, 17.1931, longitude, -5.90585e-05
3.73828, latitude, 18.0593, longitude, -0.000188018
4.6237, latitude, 18.9206, longitude, -4.63935e-05
5.23307, latitude, 19.7842, longitude, -0.000365067
5.43359, latitude, 20.6429, longitude, 0.000128063
5.41276, latitude, 21.5062, longitude, -3.71798e-05
4.60286, latitude, 22.3624, longitude, 8.39508e-05
4.77474, latitude, 23.2281, longitude, 2.66005e-05
5.41667, latitude, 24.0994, longitude, -6.32744e-05
5.20182, latitude, 24.9658, longitude, 0.000286015
5.30078, latitude, 25.84, longitude, 0.000287173
5.61198, latitude, 26.7021, longitude, 0.000153288
6.00911, latitude, 27.5692, longitude, -0.000106938
6.44271, latitude, 28.4488, longitude, 0.000107342
6.11589, latitude, 29.3258, longitude, 0.00014748
6.43229, latitude, 30.1759, longitude, -0.000132467
7.60417, latitude, 31.2052, longitude, -0.000140061
7.80078, latitude, 32.0496, longitude, 9.22356e-05
7.36849, latitude, 32.8919, longitude, -0.000145471
6.11849, latitude, 33.5758, longitude, -0.000242458
5.50781, latitude, 34.5957, longitude, 0.000310422
5.69531, latitude, 35.4442, longitude, 1.7033e-05
5.05208, latitude, 36.4577, longitude, 0.000311059
3.93229, latitude, 37.3091, longitude, -0.000166073
2.28776, latitude, 38.1545, longitude, 3.79941e-05
1.63542, latitude, 38.9631, longitude, 0.000115222
1.30859, latitude, 39.897, longitude, -9.49283e-05
0.790365, latitude, 40.6821, longitude, 0.000165054
0.442708, latitude, 41.4653, longitude, -8.06404e-05
0.11849, latitude, 42.5708, longitude, 0.000213818
0, latitude, 43.2013, longitude, 0.000146763
0, latitude, 44.2948, longitude, -0.000139733
0, latitude, 45.2038, longitude, 7.9131e-06
0, latitude, 45.9397, longitude, -5.62263e-05
0, latitude, 46.8172, longitude, 0.000210581
0, latitude, 47.6971, longitude, -0.000157546
0, latitude, 48.5699, longitude, 0.00011674
0, latitude, 49.5904, longitude, 0.000181567
0, latitude, 50.4672, longitude, 0.000277421
0, latitude, 51.3409, longitude, 0.000190188
0, latitude, 52.1988, longitude, 9.87914e-05
0, latitude, 53.065, longitude, -7.9696e-05
0, latitude, 53.9208, longitude, 0.000107218
0, latitude, 54.7671, longitude, 0.000247174
0, latitude, 55.7567, longitude, 2.55554e-05
0, latitude, 56.609, longitude, -2.99229e-05
0, latitude, 57.4645, longitude, 0.00010419
0, latitude, 58.3336, longitude, 5.46037e-05
0, latitude, 59.1745, longitude, -2.11048e-05
0, latitude, 60.0189, longitude, -9.52123e-05
0, latitude, 61.0054, longitude, 0.000182331
0, latitude, 61.8593, longitude, -0.000249613
0, latitude, 62.7062, longitude, -0.000129528
0, latitude, 63.5533, longitude, 7.22833e-05
0, latitude, 64.3932, longitude, -4.09117e-05
0, latitude, 65.3739, longitude, -0.000197992
0, latitude, 66.2161, longitude, -5.43162e-06
0, latitude, 67.0601, longitude, -1.63969e-05
0, latitude, 67.903, longitude, 0.000130543
0, latitude, 68.7516, longitude, 1.48581e-05
0, latitude, 69.7434, longitude, -0.000118225
0, latitude, 70.5861, longitude, 0.000235282
0, latitude, 71.4306, longitude, -8.57295e-05
0, latitude, 72.2767, longitude, 0.000167128
0, latitude, 73.2629, longitude, -2.42028e-05
0, latitude, 74.1113, longitude, -3.63486e-05
0, latitude, 74.9504, longitude, -0.000193841
0, latitude, 75.7839, longitude, -0.000166079
0, latitude, 76.6233, longitude, -2.40885e-05
0, latitude, 77.5991, longitude, -0.000141286
0, latitude, 78.4487, longitude, 0.000360181
0, latitude, 79.2988, longitude, 0.000165663
0, latitude, 80.137, longitude, -0.00013152
0, latitude, 80.1374, longitude, -0.000157155
0, latitude, 81.9701, longitude, -0.000178145
0, latitude, 81.9701, longitude, -0.000178145
0, latitude, 83.6475, longitude, -1.04565e-05
0, latitude, 83.6475, longitude, -1.04565e-05
0, latitude, 85.475, longitude, -9.65828e-05
0, latitude, 85.475, longitude, -9.65828e-05
0, latitude, 87.2049, longitude, -5.93934e-05
0, latitude, 87.2049, longitude, -5.93934e-05
0, latitude, 87.7625, longitude, -1.02435
0, latitude, 87.7625, longitude, -1.02435
0, latitude, 86.6271, longitude, -1.66486
0, latitude, 86.6271, longitude, -1.66486
0, latitude, 84.7784, longitude, -1.66484
0, latitude, 84.7784, longitude, -1.66484
0, latitude, 83.0998, longitude, -1.66455
0, latitude, 83.0998, longitude, -1.66455
0, latitude, 81.4069, longitude, -1.66489
0, latitude, 81.4069, longitude, -1.66489
0, latitude, 80.5671, longitude, -1.66499
0, latitude, 79.7226, longitude, -1.66463
0, latitude, 78.7396, longitude, -1.66484
0, latitude, 77.8925, longitude, -1.66495
0, latitude, 76.9118, longitude, -1.66466
0, latitude, 76.209, longitude, -1.66484
0, latitude, 75.2225, longitude, -1.6648
0, latitude, 74.374, longitude, -1.6646
0, latitude, 73.5188, longitude, -1.66455
0.00130208, latitude, 72.5364, longitude, -1.66485
0.00130208, latitude, 71.8289, longitude, -1.66462
0.00130208, latitude, 70.8515, longitude, -1.66468
0.00130208, latitude, 70.0006, longitude, -1.66469
0.00130208, latitude, 69.1569, longitude, -1.66464
0.00260417, latitude, 68.1697, longitude, -1.66452
0.00260417, latitude, 67.469, longitude, -1.66467
0.00130208, latitude, 66.4753, longitude, -1.66477
0.00390625, latitude, 65.6212, longitude, -1.66446
0.00130208, latitude, 64.765, longitude, -1.66465
0, latitude, 63.9103, longitude, -1.66482
0, latitude, 62.9145, longitude, -1.66457
0, latitude, 62.2136, longitude, -1.66474
0, latitude, 61.2275, longitude, -1.6647
