2.29036, latitude, 0.699989, longitude, 0.000192445
1.34766, latitude, 1.85637, longitude, -2.33803e-05
0.765625, latitude, 3.53118, longitude, -6.86902e-05
0.761719, latitude, 5.60824, longitude, -1.86319e-05
1.07161, latitude, 7.09986, longitude, 0.000144507
1.01042, latitude, 8.83353, longitude, 5.2953e-05
0.455729, latitude, 10.5289, longitude, 9.60792e-05
0.432292, latitude, 12.4013, longitude, 8.02956e-05
1.36979, latitude, 14.1093, longitude, -0.000172476
3.39453, latitude, 15.8248, longitude, 0.000109355
3.57552, latitude, 17.5015, longitude, -0.000162347
5.08464, latitude, 19.3782, longitude, -0.000118735
5.63802, latitude, 21.0359, longitude, -0.000298924
4.54036, latitude, 22.3993, longitude, 0.000146551
2.29036, latitude, 0.699972, longitude, 7.11939e-05
2.15495, latitude, 1.19764, longitude, 8.5534e-05
1.20573, latitude, 2.23416, longitude, 0.000158697
0.799479, latitude, 2.98433, longitude, 0.000139539
0.723958, latitude, 3.82985, longitude, 8.52319e-05
0.696615, latitude, 4.86672, longitude, 0.000293064
0.9375, latitude, 5.71561, longitude, -0.000282002
1.05859, latitude, 6.4641, longitude, 2.71943e-05
1.0612, latitude, 7.50073, longitude, 0.000152729
1.07812, latitude, 8.35609, longitude, 5.04878e-05
0.884115, latitude, 9.10758, longitude, 9.4995e-05
0.510417, latitude, 9.94834, longitude, -1.95225e-05
0.455729, latitude, 10.9684, longitude, 0.000133165
0.460938, latitude, 11.7562, longitude, -0.000143563
0.43099, latitude, 12.5665, longitude, -0.00033389
0.813802, latitude, 13.5101, longitude, -0.000201615
1.54688, latitude, 14.3174, longitude, -1.14804e-05
2.57422, latitude, 15.261, longitude, 3.23637e-05
3.55859, latitude, 16.0755, longitude, 0.000103932
3.42708, latitude, 17.0893, longitude, 0.000154294
3.73438, latitude, 18.0363, longitude, 0.000341714
4.53385, latitude, 18.8825, longitude, 0.000158753
5.24219, latitude, 19.7413, longitude, -0.00030333
5.5, latitude, 20.5964, longitude, 0.000104284
5.39844, latitude, 21.5365, longitude, 7.23036e-05
4.52344, latitude, 22.3887, longitude, 6.08336e-05
4.78776, latitude, 23.2381, longitude, -0.000145257
5.42188, latitude, 24.1791, longitude, 0.000135229
5.32552, latitude, 25.0331, longitude, 0.000135326
5.23828, latitude, 25.8793, longitude, -5.34312e-05
5.59505, latitude, 26.7348, longitude, -0.000277576
5.85156, latitude, 27.6663, longitude, -3.99723e-05
6.44141, latitude, 28.5064, longitude, -1.15306e-05
6.21354, latitude, 29.425, longitude, -1.22112e-05
6.3776, latitude, 30.2676, longitude, -0.000141591
7.67839, latitude, 31.092, longitude, 3.77447e-05
7.84505, latitude, 32.0246, longitude, 0.000366869
7.40365, latitude, 32.8595, longitude, 1.43201e-05
6.125, latitude, 33.7837, longitude, 1.86787e-06
5.42708, latitude, 34.6103, longitude, 0.000316408
5.7487, latitude, 35.5253, longitude, 0.000115165
5.17318, latitude, 36.3509, longitude, -0.000164511
4.0651, latitude, 37.2803, longitude, -0.000180698
2.36719, latitude, 38.1089, longitude, 3.6492e-05
1.625, latitude, 38.9707, longitude, -0.000108678
1.34766, latitude, 39.8909, longitude, 0.00021398
0.8125, latitude, 40.792, longitude, -5.96341e-05
0.449219, latitude, 41.6295, longitude, -0.000117934
