2.50651, latitude, 0.699983, longitude, 0.000115326
2.41536, latitude, 1.26062, longitude, 0.000174598
1.66406, latitude, 1.90519, longitude, 0.000140138
1.69401, latitude, 2.98954, longitude, -1.80663e-05
1.85286, latitude, 3.82879, longitude, -3.41013e-05
2.20964, latitude, 4.67591, longitude, 5.61843e-05
2.71615, latitude, 5.68112, longitude, 0.00025216
3.60417, latitude, 6.52083, longitude, 5.67707e-06
5.05339, latitude, 7.34549, longitude, -0.000144
4.57812, latitude, 8.17577, longitude, 0.000146551
4.08203, latitude, 9.17105, longitude, -0.000192803
3.15885, latitude, 9.99044, longitude, 0.000392166
2.29688, latitude, 10.6716, longitude, 6.29529e-06
1.52995, latitude, 11.7114, longitude, -6.45786e-05
3.09115, latitude, 12.5959, longitude, 0.000172848
5.22396, latitude, 13.5239, longitude, -0.000176438
8.3125, latitude, 14.345, longitude, -8.91893e-05
14.1654, latitude, 15.2555, longitude, -3.857e-05
16.0339, latitude, 16.1027, longitude, 0.000146233
14.526, latitude, 17.0734, longitude, -2.19723e-05
17.4128, latitude, 17.8999, longitude, 0.000200728
20.8958, latitude, 18.7034, longitude, 0.00019982
19.9831, latitude, 19.6388, longitude, -0.00027684
21.3385, latitude, 20.4621, longitude, -5.60058e-05
22.4557, latitude, 21.3175, longitude, -0.000103858
21.9349, latitude, 22.0847, longitude, 0.000298251
21.2161, latitude, 23.1811, longitude, 0.000135672
24.332, latitude, 23.9309, longitude, 1.88709e-05
26.4492, latitude, 24.6771, longitude, -0.000177209
26.3581, latitude, 25.7003, longitude, -0.00023154
25.6042, latitude, 26.6886, longitude, -0.000280302
27.4688, latitude, 27.6375, longitude, -0.00010476
25.7682, latitude, 28.2729, longitude, -3.83298e-05
26.2891, latitude, 29.2341, longitude, -3.72685e-05
28.3529, latitude, 30.1847, longitude, 0.000142798
30.3516, latitude, 31.1368, longitude, -0.000181662
35.2188, latitude, 31.7739, longitude, 4.4067e-05
39.1875, latitude, 32.76, longitude, -0.000107147
37.1276, latitude, 33.7328, longitude, 0.000200696
37.8672, latitude, 34.3892, longitude, -6.75626e-06
34.1576, latitude, 35.3548, longitude, -7.04444e-05
28.8919, latitude, 36.3335, longitude, -0.000154421
22.2891, latitude, 36.9882, longitude, 6.61048e-05
18.9023, latitude, 37.9814, longitude, -6.21782e-05
11.0547, latitude, 38.9762, longitude, -1.14268e-05
6.48698, latitude, 39.6175, longitude, -0.000242614
3.7513, latitude, 40.6078, longitude, 0.000306405
2.44792, latitude, 41.5854, longitude, -0.000126055
0.565104, latitude, 42.2353, longitude, -9.29701e-05
0.0585938, latitude, 43.2269, longitude, -5.66632e-05
0, latitude, 44.2043, longitude, 9.04554e-05
0, latitude, 44.8648, longitude, -0.000163938
0, latitude, 45.8161, longitude, -4.01311e-06
0, latitude, 46.8197, longitude, 0.000235719
0, latitude, 47.4709, longitude, 0.000107645
0, latitude, 48.4415, longitude, -0.000191091
0, latitude, 49.3887, longitude, 2.25206e-05
0, latitude, 50.3415, longitude, 3.97802e-05
0, latitude, 50.9689, longitude, -5.81924e-05
0, latitude, 51.9017, longitude, 0.000143484
0, latitude, 52.8425, longitude, -0.000117306
0, latitude, 53.7765, longitude, -6.99036e-05
0, latitude, 54.7063, longitude, -0.000237177
0, latitude, 55.6368, longitude, -8.43947e-05
0, latitude, 56.2612, longitude, 8.07161e-05
0, latitude, 57.2112, longitude, 1.47014e-05
0, latitude, 58.1634, longitude, 1.1855e-05
0, latitude, 59.1017, longitude, -0.000114464
0, latitude, 59.7297, longitude, 0.000435484
0, latitude, 60.6585, longitude, 4.95457e-06
0, latitude, 61.5881, longitude, 5.07026e-05
0, latitude, 62.5096, longitude, -0.000120728
0, latitude, 63.4379, longitude, 0.000119146
0, latitude, 64.3675, longitude, 0.00010896
0, latitude, 65.3005, longitude, 2.078e-05
0, latitude, 65.9248, longitude, -0.000135359
0, latitude, 66.873, longitude, -0.00012292
0, latitude, 67.7978, longitude, -0.0002078
0, latitude, 68.7315, longitude, 0.000192977
0, latitude, 69.6569, longitude, -0.000346762
0, latitude, 70.2749, longitude, -0.000271961
0, latitude, 71.2157, longitude, -0.000159566
0, latitude, 72.149, longitude, 4.12674e-05
0, latitude, 73.09, longitude, -0.000159507
0, latitude, 74.0333, longitude, 0.000127794
0, latitude, 74.6565, longitude, -6.20525e-05
0, latitude, 75.591, longitude, -5.58143e-05
0, latitude, 76.5404, longitude, 7.60739e-06
0, latitude, 77.4675, longitude, 6.34358e-05
0, latitude, 78.409, longitude, -0.000105101
0, latitude, 79.0255, longitude, -0.000124946
0, latitude, 79.9647, longitude, -5.93366e-05
0, latitude, 80.9053, longitude, -4.24516e-05
0, latitude, 81.8402, longitude, 8.09979e-05
0, latitude, 82.7745, longitude, -2.91407e-05
0, latitude, 83.3903, longitude, 0.000181126
0, latitude, 84.326, longitude, -0.000120294
0, latitude, 85.2772, longitude, -0.000107397
0, latitude, 86.2099, longitude, -3.99867e-05
0, latitude, 87.1427, longitude, -2.94573e-06
0, latitude, 87.7603, longitude, 0.000112615
0, latitude, 87.7607, longitude, -0.574054
0, latitude, 87.7601, longitude, -1.43387
0, latitude, 87.1363, longitude, -1.71837
0, latitude, 86.195, longitude, -1.71876
0, latitude, 85.5686, longitude, -1.71897
0, latitude, 84.6411, longitude, -1.71885
0, latitude, 83.7011, longitude, -1.71862
0, latitude, 82.7743, longitude, -1.71861
0, latitude, 81.8432, longitude, -1.71879
0, latitude, 80.907, longitude, -1.71865
0, latitude, 80.907, longitude, -1.71885
0, latitude, 79.3603, longitude, -1.71865
0, latitude, 79.3603, longitude, -1.71865
0, latitude, 77.5041, longitude, -1.71904
0, latitude, 77.5041, longitude, -1.71904
0.0208333, latitude, 75.6248, longitude, -1.71859
0.304688, latitude, 75.6248, longitude, -1.71859
0.300781, latitude, 74.0528, longitude, -1.71859
0.328125, latitude, 74.0528, longitude, -1.71859
0.559896, latitude, 73.1274, longitude, -1.71893
1.01302, latitude, 72.1949, longitude, -1.71836
1.0638, latitude, 71.2663, longitude, -1.71879
1.08594, latitude, 70.6506, longitude, -1.71866
1.16406, latitude, 69.7056, longitude, -1.71894
1.30729, latitude, 68.781, longitude, -1.71869
1.1276, latitude, 67.8486, longitude, -1.71881
0.980469, latitude, 66.9154, longitude, -1.71885
1.07812, latitude, 65.9902, longitude, -1.71856
0.795573, latitude, 65.3784, longitude, -1.71868
0.158854, latitude, 64.4532, longitude, -1.71863
0, latitude, 63.5325, longitude, -1.71835
0, latitude, 62.6067, longitude, -1.71855
0, latitude, 61.655, longitude, -1.71852
0, latitude, 60.7299, longitude, -1.71883
0, latitude, 60.0543, longitude, -1.71862
0, latitude, 59.1418, longitude, -1.71876
0, latitude, 58.2308, longitude, -1.71881
0, latitude, 57.2662, longitude, -1.71881
0, latitude, 56.3572, longitude, -1.71877
0, latitude, 55.7503, longitude, -1.71864
0, latitude, 54.8396, longitude, -1.71856
0, latitude, 53.9278, longitude, -1.71853
